Date,Town,Cases,Rate
6/3/2020,Walpole,227,876.42
6/3/2020,Waltham,1170,1755.19
6/3/2020,Ware,28,276.17
6/3/2020,Wareham,208,868.45
6/3/2020,Warren,19,350.43
6/3/2020,Warwick,0,0
6/3/2020,Washington,,
6/3/2020,Watertown,367,1106.33
6/3/2020,Wayland,107,805.6
6/3/2020,Webster,189,1099.41
6/3/2020,Wellesley,223,749.97
6/3/2020,Wellfleet,,
6/3/2020,Wendell,0,0
6/3/2020,Wenham,19,364.96
6/3/2020,West Boylston,41,522.28
6/3/2020,West Bridgewater,143,1973.09
6/3/2020,West Brookfield,17,458.27
6/3/2020,West Newbury,8,196.01
6/3/2020,West Springfield,352,1194.96
6/3/2020,West Stockbridge,5,418.16
6/3/2020,West Tisbury,7,242.81
6/3/2020,Westborough,333,1767.31
6/3/2020,Westfield,428,1029.38
6/3/2020,Westford,134,579.1
6/3/2020,Westhampton,5,293.92
6/3/2020,Westminster,32,436.43
6/3/2020,Weston,106,955.49
6/3/2020,Westport,87,522.71
6/3/2020,Westwood,122,827.72
6/3/2020,Weymouth,682,1216.48
6/3/2020,Whately,,
6/3/2020,Whitman,185,1199.76
6/3/2020,Wilbraham,216,1485.31
6/3/2020,Williamsburg,10,405.37
6/3/2020,Williamstown,83,1126.38
6/3/2020,Wilmington,323,1325.23
6/3/2020,Winchendon,87,809.56
6/3/2020,Winchester,113,506.19
6/3/2020,Windsor,0,0
6/3/2020,Winthrop,245,1299.93
6/3/2020,Woburn,586,1412.36
6/3/2020,Worcester,4910,2559.04
6/3/2020,Worthington,0,0
6/3/2020,Wrentham,189,1676.35
6/3/2020,Yarmouth,108,449.56
6/3/2020,Unknown,271,
6/3/2020,State Total,97964,1406.16
