Date,Town,Case,Rate
4/22/2020,Aquinnah,0,0
4/22/2020,Arlington,180,392.94
4/22/2020,Ashburnham,12,191.09
4/22/2020,Ashby,7,202.46
4/22/2020,Ashfield,,
4/22/2020,Ashland,84,430.93
4/22/2020,Athol,34,284.16
4/22/2020,Attleboro,281,607.33
4/22/2020,Auburn,45,272.85
4/22/2020,Avon,39,890.27
4/22/2020,Ayer,33,408.42
4/22/2020,Barnstable,133,296.57
4/22/2020,Barre,24,431.83
4/22/2020,Becket,10,555.42
4/22/2020,Bedford,117,785.43
4/22/2020,Belchertown,40,251.21
4/22/2020,Bellingham,44,246.14
4/22/2020,Belmont,141,516.37
4/22/2020,Berkley,21,309.73
4/22/2020,Berlin,10,313.16
4/22/2020,Bernardston,,
4/22/2020,Beverly,241,585.43
4/22/2020,Billerica,261,598.86
4/22/2020,Blackstone,20,221.13
4/22/2020,Blandford,0,
4/22/2020,Bolton,5,
4/22/2020,Boston,6744,970.4
4/22/2020,Bourne,99,473.23
4/22/2020,Boxborough,9,176.21
4/22/2020,Boxford,25,323.95
4/22/2020,Boylston,9,200.5
4/22/2020,Braintree,418,1062
4/22/2020,Brewster,64,645.66
4/22/2020,Bridgewater,141,495.66
4/22/2020,Brimfield,,
4/22/2020,Brockton,1763,1794.43
4/22/2020,Brookfield,5,136.55
4/22/2020,Brookline,216,335.48
4/22/2020,Buckland,6,
4/22/2020,Burlington,131,473.89
4/22/2020,Cambridge,672,595.82
4/22/2020,Canton,157,680.7
4/22/2020,Carlisle,7,146.79
4/22/2020,Carver,19,156.04
4/22/2020,Charlemont,0,0
4/22/2020,Charlton,26,184.76
4/22/2020,Chatham,8,136.61
4/22/2020,Chelmsford,174,483.58
4/22/2020,Chelsea,1447,3841.8
4/22/2020,Cheshire,,
4/22/2020,Chester,,
4/22/2020,Chesterfield,,
4/22/2020,Chicopee,176,308.69
4/22/2020,Chilmark,0,0
4/22/2020,Clarksburg,7,415.82
4/22/2020,Clinton,54,383.65
4/22/2020,Cohasset,15,202.72
4/22/2020,Colrain,,
4/22/2020,Concord,63,336.45
4/22/2020,Conway,,
4/22/2020,Cummington,,
4/22/2020,Dalton,6,91.99
4/22/2020,Danvers,316,1106.6
4/22/2020,Dartmouth,66,179.25
4/22/2020,Dedham,174,641.48
4/22/2020,Deerfield,,
4/22/2020,Dennis,42,317.61
4/22/2020,Dighton,20,254.91
4/22/2020,Douglas,18,191.5
4/22/2020,Dover,14,268.65
4/22/2020,Dracut,229,708.86
4/22/2020,Dudley,27,218.03
4/22/2020,Dunstable,7,
4/22/2020,Duxbury,33,218.06
4/22/2020,East Bridgewater,102,691.23
4/22/2020,East Brookfield,,
4/22/2020,East Longmeadow,116,685.8
4/22/2020,Eastham,7,150.65
4/22/2020,Easthampton,37,228.2
4/22/2020,Easton,162,683.59
4/22/2020,Edgartown,0,
4/22/2020,Egremont,,
4/22/2020,Erving,,
4/22/2020,Essex,12,322.52
4/22/2020,Everett,716,1475.18
4/22/2020,Fairhaven,45,280.71
4/22/2020,Fall River,191,213.53
4/22/2020,Falmouth,110,351.98
4/22/2020,Fitchburg,148,351.1
4/22/2020,Florida,,
4/22/2020,Foxborough,54,298.13
4/22/2020,Framingham,438,588.19
4/22/2020,Franklin,55,162.66
4/22/2020,Freetown,25,276.3
4/22/2020,Gardner,74,370.19
4/22/2020,Georgetown,24,268.64
4/22/2020,Gill,,
4/22/2020,Gloucester,111,387.77
4/22/2020,Goshen,0,
4/22/2020,Gosnold,0,0
4/22/2020,Grafton,41,205.57
4/22/2020,Granby,13,211.67
4/22/2020,Granville,7,449.78
4/22/2020,Great Barrington,37,544.46
4/22/2020,Greenfield,122,702.59
4/22/2020,Groton,15,128.81
4/22/2020,Groveland,8,117.07
4/22/2020,Hadley,17,295.63
4/22/2020,Halifax,22,287.91
4/22/2020,Hamilton,14,187.32
4/22/2020,Hampden,14,283.36
4/22/2020,Hancock,,
4/22/2020,Hanover,38,265.27
4/22/2020,Hanson,44,410.96
4/22/2020,Hardwick,,
4/22/2020,Harvard,13,187.66
4/22/2020,Harwich,30,238.8
4/22/2020,Hatfield,6,
4/22/2020,Haverhill,385,584.7
4/22/2020,Hawley,0,0
4/22/2020,Heath,0,0
4/22/2020,Hingham,108,454.02
4/22/2020,Hinsdale,,
4/22/2020,Holbrook,83,734.84
4/22/2020,Holden,34,180.27
4/22/2020,Holland,5,195.29
4/22/2020,Holliston,21,152.35
4/22/2020,Holyoke,474,1150.36
4/22/2020,Hopedale,8,140.87
4/22/2020,Hopkinton,65,398.42
4/22/2020,Hubbardston,,
4/22/2020,Hudson,73,348.51
4/22/2020,Hull,17,172.13
4/22/2020,Huntington,6,271.33
4/22/2020,Ipswich,33,245.41
4/22/2020,Kingston,50,368.64
4/22/2020,Lakeville,27,239.14
4/22/2020,Lancaster,12,140.06
4/22/2020,Lanesborough,5,
4/22/2020,Lawrence,1205,1366.59
4/22/2020,Lee,11,187.08
4/22/2020,Leicester,58,514.92
4/22/2020,Lenox,11,225.47
4/22/2020,Leominster,128,315.33
4/22/2020,Leverett,,
4/22/2020,Lexington,218,640.33
4/22/2020,Leyden,0,0
4/22/2020,Lincoln,25,288.92
4/22/2020,Littleton,69,710.01
4/22/2020,Longmeadow,159,1025.16
4/22/2020,Lowell,1235,1056.83
4/22/2020,Ludlow,47,225.27
4/22/2020,Lunenburg,24,230.62
4/22/2020,Lynn,1387,1374.58
4/22/2020,Lynnfield,56,480.73
4/22/2020,Malden,560,826.52
4/22/2020,Manchester,12,242.6
4/22/2020,Mansfield,87,368.08
4/22/2020,Marblehead,65,338.23
4/22/2020,Marion,,
4/22/2020,Marlborough,295,679.11
4/22/2020,Marshfield,83,320.96
4/22/2020,Mashpee,34,221.1
4/22/2020,Mattapoisett,9,155.67
4/22/2020,Maynard,24,230
4/22/2020,Medfield,23,201.75
4/22/2020,Medford,590,970.16
4/22/2020,Medway,46,351.68
4/22/2020,Melrose,126,435.65
4/22/2020,Mendon,10,172.62
4/22/2020,Merrimac,8,
4/22/2020,Methuen,409,763.76
4/22/2020,Middleborough,72,267.44
4/22/2020,Middlefield,0,0
4/22/2020,Middleton,89,862.46
4/22/2020,Milford,114,389.04
4/22/2020,Millbury,117,856.7
4/22/2020,Millis,27,341.96
4/22/2020,Millville,7,
4/22/2020,Milton,141,492.49
4/22/2020,Monroe,0,0
4/22/2020,Monson,14,165.97
4/22/2020,Montague,14,163.77
4/22/2020,Monterey,0,0
4/22/2020,Montgomery,,
4/22/2020,Mount Washington,0,0
4/22/2020,Nahant,28,855.77
