Date,Town,Case,Rate
6/24/2020,Southborough,41,421.69
6/24/2020,Southbridge,163,967.75
6/24/2020,Southwick,51,520.76
6/24/2020,Spencer,49,425.34
6/24/2020,Springfield,2754,1739.37
6/24/2020,Sterling,120,1524.13
6/24/2020,Stockbridge,14,802.96
6/24/2020,Stoneham,374,1676.83
6/24/2020,Stoughton,602,2176.62
6/24/2020,Stow,27,374.49
6/24/2020,Sturbridge,42,402.22
6/24/2020,Sudbury,197,1100.32
6/24/2020,Sunderland,9,236.75
6/24/2020,Sutton,50,556.51
6/24/2020,Swampscott,128,933.85
6/24/2020,Swansea,133,832.84
6/24/2020,Taunton,964,1683
6/24/2020,Templeton,122,1366.03
6/24/2020,Tewksbury,582,1890.18
6/24/2020,Tisbury,8,192.25
6/24/2020,Tolland,,
6/24/2020,Topsfield,114,1950.74
6/24/2020,Townsend,35,382.56
6/24/2020,Truro,10,506.37
6/24/2020,Tyngsborough,92,767.25
6/24/2020,Tyringham,,
6/24/2020,Upton,24,265.46
6/24/2020,Uxbridge,77,499.57
6/24/2020,Wakefield,313,1159.05
6/24/2020,Wales,,
6/24/2020,Walpole,232,895.73
6/24/2020,Waltham,1227,1840.7
6/24/2020,Ware,31,305.76
6/24/2020,Wareham,211,880.97
6/24/2020,Warren,22,405.76
6/24/2020,Warwick,0,0
6/24/2020,Washington,,
6/24/2020,Watertown,388,1169.64
6/24/2020,Wayland,106,798.07
6/24/2020,Webster,248,1442.61
6/24/2020,Wellesley,232,780.23
6/24/2020,Wellfleet,,
6/24/2020,Wendell,0,0
6/24/2020,Wenham,19,364.96
6/24/2020,West Boylston,43,547.76
6/24/2020,West Bridgewater,142,1959.29
6/24/2020,West Brookfield,19,512.19
6/24/2020,West Newbury,10,245.01
6/24/2020,West Springfield,362,1228.9
6/24/2020,West Stockbridge,5,418.16
6/24/2020,West Tisbury,7,242.81
6/24/2020,Westborough,336,1783.23
6/24/2020,Westfield,439,1055.84
6/24/2020,Westford,139,600.71
6/24/2020,Westhampton,6,352.71
6/24/2020,Westminster,32,436.43
6/24/2020,Weston,108,973.52
6/24/2020,Westport,97,582.8
6/24/2020,Westwood,126,854.85
6/24/2020,Weymouth,715,1275.34
6/24/2020,Whately,5,340.12
6/24/2020,Whitman,187,1212.73
6/24/2020,Wilbraham,223,1533.44
6/24/2020,Williamsburg,10,405.37
6/24/2020,Williamstown,82,1112.81
6/24/2020,Wilmington,327,1341.64
6/24/2020,Winchendon,88,818.86
6/24/2020,Winchester,118,528.59
6/24/2020,Windsor,0,0
6/24/2020,Winthrop,253,1342.37
6/24/2020,Woburn,621,1496.71
6/24/2020,Worcester,5165,2691.95
6/24/2020,Worthington,0,0
6/24/2020,Wrentham,191,1694.09
6/24/2020,Yarmouth,113,470.38
6/24/2020,Unknown,259,
6/24/2020,State Total,102762,1475.03
