date,town,cases, rate
2020-05-13,Sandwich,74,351.8
2020-05-13,Saugus,432,1519.77
2020-05-13,Savoy,,
2020-05-13,Scituate,119,656.68
2020-05-13,Seekonk,61,435.64
2020-05-13,Sharon,118,644.43
2020-05-13,Sheffield,15,485.9
2020-05-13,Shelburne,7,378.53
2020-05-13,Sherborn,11,286.66
2020-05-13,Shirley,144,1708.37
2020-05-13,Shrewsbury,265,672.61
2020-05-13,Shutesbury,,
2020-05-13,Somerset,98,529.51
2020-05-13,Somerville,729,952.46
2020-05-13,South Hadley,108,596.71
2020-05-13,Southampton,28,466.24
2020-05-13,Southborough,36,370.27
2020-05-13,Southbridge,84,498.72
2020-05-13,Southwick,44,449.28
2020-05-13,Spencer,38,329.85
2020-05-13,Springfield,1889,1193.05
2020-05-13,Sterling,60,762.06
2020-05-13,Stockbridge,14,802.96
2020-05-13,Stoneham,322,1443.69
2020-05-13,Stoughton,512,1851.21
2020-05-13,Stow,25,346.75
2020-05-13,Sturbridge,30,287.3
2020-05-13,Sudbury,163,910.42
2020-05-13,Sunderland,8,210.44
2020-05-13,Sutton,38,422.95
2020-05-13,Swampscott,115,839.01
2020-05-13,Swansea,75,469.65
2020-05-13,Taunton,758,1323.35
2020-05-13,Templeton,109,1220.47
2020-05-13,Tewksbury,484,1571.91
2020-05-13,Tisbury,,
2020-05-13,Tolland,,
2020-05-13,Topsfield,106,1813.85
2020-05-13,Townsend,26,284.19
2020-05-13,Truro,9,455.74
2020-05-13,Tyngsborough,81,675.52
2020-05-13,Tyringham,,
2020-05-13,Upton,17,188.03
2020-05-13,Uxbridge,58,376.3
2020-05-13,Wakefield,257,951.68
2020-05-13,Wales,,
2020-05-13,Walpole,199,768.32
2020-05-13,Waltham,994,1491.16
2020-05-13,Ware,21,207.13
2020-05-13,Wareham,171,713.96
2020-05-13,Warren,13,239.77
2020-05-13,Warwick,0,0
2020-05-13,Washington,,
2020-05-13,Watertown,326,982.74
2020-05-13,Wayland,92,692.67
2020-05-13,Webster,123,715.49
2020-05-13,Wellesley,207,696.16
2020-05-13,Wellfleet,,
2020-05-13,Wendell,0,0
2020-05-13,Wenham,15,288.12
2020-05-13,West Boylston,33,420.37
2020-05-13,West Bridgewater,98,1352.19
2020-05-13,West Brookfield,13,350.44
2020-05-13,West Newbury,6,147
2020-05-13,West Springfield,271,919.98
2020-05-13,West Stockbridge,,
2020-05-13,West Tisbury,7,242.81
2020-05-13,Westborough,273,1448.88
2020-05-13,Westfield,397,954.82
2020-05-13,Westford,126,544.53
2020-05-13,Westhampton,,
2020-05-13,Westminster,19,259.13
2020-05-13,Weston,125,1126.76
2020-05-13,Westport,61,366.5
2020-05-13,Westwood,99,671.67
2020-05-13,Weymouth,607,1082.7
2020-05-13,Whately,,
2020-05-13,Whitman,164,1063.57
2020-05-13,Wilbraham,178,1224
2020-05-13,Williamsburg,8,324.3
2020-05-13,Williamstown,81,1099.24
2020-05-13,Wilmington,298,1222.65
2020-05-13,Winchendon,73,679.28
2020-05-13,Winchester,97,434.52
2020-05-13,Windsor,0,0
2020-05-13,Winthrop,221,1172.59
2020-05-13,Woburn,499,1202.67
2020-05-13,Worcester,3549,1849.7
2020-05-13,Worthington,0,0
2020-05-13,Wrentham,172,1525.57
2020-05-13,Yarmouth,96,399.61
2020-05-13,Unknown,264,
2020-05-13,State Total,80497,1155.44

