Date,Town,Cases,Rate
7/15/2020,Williamsburg,11,445.907
7/15/2020,Williamstown,83,1126.380854
7/15/2020,Wilmington,337,1382.671532
7/15/2020,Winchendon,89,828.17
7/15/2020,Winchester,119,533.06
7/15/2020,Windsor,0,#DIV/0!
7/15/2020,Winthrop,297,1575.827795
7/15/2020,Woburn,650,1566.610681
7/15/2020,Worcester,5352,2789.410707
7/15/2020,Worthington,0,#DIV/0!
7/15/2020,Wrentham,193,1711.829583
7/15/2020,Yarmouth,115,478.7
7/15/2020,Unknown,264,#DIV/0!
7/15/2020,State Totals,106128,1523.340893
